,Team,year,Distance,Frequency,Win,ORtg
1291,Los Angeles Lakers,2007,0-3 ft,0.326,0.512,109.09
1292,Los Angeles Lakers,2007,3-10 ft,0.122,0.512,109.09
1293,Los Angeles Lakers,2007,10-16 ft,0.096,0.512,109.09
1294,Los Angeles Lakers,2007,Over 16 ft,0.196,0.512,109.09
1295,Los Angeles Lakers,2007,3P,0.259,0.512,109.09
1296,Los Angeles Lakers,2008,0-3 ft,0.328,0.695,113.71
1297,Los Angeles Lakers,2008,3-10 ft,0.109,0.695,113.71
1298,Los Angeles Lakers,2008,10-16 ft,0.093,0.695,113.71
1299,Los Angeles Lakers,2008,Over 16 ft,0.213,0.695,113.71
1300,Los Angeles Lakers,2008,3P,0.257,0.695,113.71
1301,Los Angeles Lakers,2009,0-3 ft,0.32,0.793,113.43
1302,Los Angeles Lakers,2009,3-10 ft,0.148,0.793,113.43
1303,Los Angeles Lakers,2009,10-16 ft,0.119,0.793,113.43
1304,Los Angeles Lakers,2009,Over 16 ft,0.196,0.793,113.43
1305,Los Angeles Lakers,2009,3P,0.217,0.793,113.43
1306,Los Angeles Lakers,2010,0-3 ft,0.311,0.695,109.51
1307,Los Angeles Lakers,2010,3-10 ft,0.15,0.695,109.51
1308,Los Angeles Lakers,2010,10-16 ft,0.121,0.695,109.51
1309,Los Angeles Lakers,2010,Over 16 ft,0.191,0.695,109.51
1310,Los Angeles Lakers,2010,3P,0.227,0.695,109.51
1311,Los Angeles Lakers,2011,0-3 ft,0.256,0.695,111.61
1312,Los Angeles Lakers,2011,3-10 ft,0.206,0.695,111.61
1313,Los Angeles Lakers,2011,10-16 ft,0.118,0.695,111.61
1314,Los Angeles Lakers,2011,Over 16 ft,0.199,0.695,111.61
1315,Los Angeles Lakers,2011,3P,0.22,0.695,111.61
1316,Los Angeles Lakers,2012,0-3 ft,0.258,0.621,106.62
1317,Los Angeles Lakers,2012,3-10 ft,0.212,0.621,106.62
1318,Los Angeles Lakers,2012,10-16 ft,0.117,0.621,106.62
1319,Los Angeles Lakers,2012,Over 16 ft,0.205,0.621,106.62
1320,Los Angeles Lakers,2012,3P,0.209,0.621,106.62
1321,Los Angeles Lakers,2013,0-3 ft,0.281,0.549,108.49
1322,Los Angeles Lakers,2013,3-10 ft,0.17,0.549,108.49
1323,Los Angeles Lakers,2013,10-16 ft,0.089,0.549,108.49
1324,Los Angeles Lakers,2013,Over 16 ft,0.158,0.549,108.49
1325,Los Angeles Lakers,2013,3P,0.303,0.549,108.49
1326,Los Angeles Lakers,2014,0-3 ft,0.247,0.329,104.89
1327,Los Angeles Lakers,2014,3-10 ft,0.177,0.329,104.89
1328,Los Angeles Lakers,2014,10-16 ft,0.116,0.329,104.89
1329,Los Angeles Lakers,2014,Over 16 ft,0.169,0.329,104.89
1330,Los Angeles Lakers,2014,3P,0.291,0.329,104.89
1331,Los Angeles Lakers,2015,0-3 ft,0.263,0.256,104.07
1332,Los Angeles Lakers,2015,3-10 ft,0.151,0.256,104.07
1333,Los Angeles Lakers,2015,10-16 ft,0.131,0.256,104.07
1334,Los Angeles Lakers,2015,Over 16 ft,0.232,0.256,104.07
1335,Los Angeles Lakers,2015,3P,0.22,0.256,104.07
1336,Los Angeles Lakers,2016,0-3 ft,0.255,0.207,102.29
1337,Los Angeles Lakers,2016,3-10 ft,0.163,0.207,102.29
1338,Los Angeles Lakers,2016,10-16 ft,0.125,0.207,102.29
1339,Los Angeles Lakers,2016,Over 16 ft,0.168,0.207,102.29
1340,Los Angeles Lakers,2016,3P,0.29,0.207,102.29
1341,Los Angeles Lakers,2017,0-3 ft,0.299,0.317,106.69
1342,Los Angeles Lakers,2017,3-10 ft,0.187,0.317,106.69
1343,Los Angeles Lakers,2017,10-16 ft,0.103,0.317,106.69
1344,Los Angeles Lakers,2017,Over 16 ft,0.118,0.317,106.69
1345,Los Angeles Lakers,2017,3P,0.295,0.317,106.69
1346,Los Angeles Lakers,2018,0-3 ft,0.321,0.427,107.1
1347,Los Angeles Lakers,2018,3-10 ft,0.168,0.427,107.1
1348,Los Angeles Lakers,2018,10-16 ft,0.086,0.427,107.1
1349,Los Angeles Lakers,2018,Over 16 ft,0.096,0.427,107.1
1350,Los Angeles Lakers,2018,3P,0.329,0.427,107.1
1351,Memphis Grizzlies,2001,0-3 ft,0.217,0.28,100.04
1352,Memphis Grizzlies,2001,3-10 ft,0.184,0.28,100.04
1353,Memphis Grizzlies,2001,10-16 ft,0.13,0.28,100.04
1354,Memphis Grizzlies,2001,Over 16 ft,0.323,0.28,100.04
1355,Memphis Grizzlies,2001,3P,0.145,0.28,100.04
1356,Memphis Grizzlies,2002,0-3 ft,0.288,0.28,98.9
1357,Memphis Grizzlies,2002,3-10 ft,0.176,0.28,98.9
1358,Memphis Grizzlies,2002,10-16 ft,0.135,0.28,98.9
1359,Memphis Grizzlies,2002,Over 16 ft,0.233,0.28,98.9
1360,Memphis Grizzlies,2002,3P,0.168,0.28,98.9
1361,Memphis Grizzlies,2003,0-3 ft,0.287,0.341,104.47
1362,Memphis Grizzlies,2003,3-10 ft,0.173,0.341,104.47
1363,Memphis Grizzlies,2003,10-16 ft,0.132,0.341,104.47
1364,Memphis Grizzlies,2003,Over 16 ft,0.218,0.341,104.47
1365,Memphis Grizzlies,2003,3P,0.19,0.341,104.47
1366,Memphis Grizzlies,2004,0-3 ft,0.342,0.61,105.56
1367,Memphis Grizzlies,2004,3-10 ft,0.17,0.61,105.56
1368,Memphis Grizzlies,2004,10-16 ft,0.101,0.61,105.56
1369,Memphis Grizzlies,2004,Over 16 ft,0.19,0.61,105.56
1370,Memphis Grizzlies,2004,3P,0.197,0.61,105.56
1371,Memphis Grizzlies,2005,0-3 ft,0.354,0.549,106.5
1372,Memphis Grizzlies,2005,3-10 ft,0.145,0.549,106.5
1373,Memphis Grizzlies,2005,10-16 ft,0.089,0.549,106.5
1374,Memphis Grizzlies,2005,Over 16 ft,0.176,0.549,106.5
1375,Memphis Grizzlies,2005,3P,0.237,0.549,106.5
1376,Memphis Grizzlies,2006,0-3 ft,0.328,0.598,107.11
1377,Memphis Grizzlies,2006,3-10 ft,0.145,0.598,107.11
1378,Memphis Grizzlies,2006,10-16 ft,0.092,0.598,107.11
1379,Memphis Grizzlies,2006,Over 16 ft,0.178,0.598,107.11
1380,Memphis Grizzlies,2006,3P,0.258,0.598,107.11
1381,Memphis Grizzlies,2007,0-3 ft,0.343,0.268,107.37
1382,Memphis Grizzlies,2007,3-10 ft,0.139,0.268,107.37
1383,Memphis Grizzlies,2007,10-16 ft,0.1,0.268,107.37
1384,Memphis Grizzlies,2007,Over 16 ft,0.207,0.268,107.37
1385,Memphis Grizzlies,2007,3P,0.211,0.268,107.37
1386,Memphis Grizzlies,2008,0-3 ft,0.324,0.268,105.44
1387,Memphis Grizzlies,2008,3-10 ft,0.142,0.268,105.44
1388,Memphis Grizzlies,2008,10-16 ft,0.093,0.268,105.44
1389,Memphis Grizzlies,2008,Over 16 ft,0.178,0.268,105.44
1390,Memphis Grizzlies,2008,3P,0.264,0.268,105.44
1391,Memphis Grizzlies,2009,0-3 ft,0.332,0.293,104.51
1392,Memphis Grizzlies,2009,3-10 ft,0.164,0.293,104.51
1393,Memphis Grizzlies,2009,10-16 ft,0.102,0.293,104.51
1394,Memphis Grizzlies,2009,Over 16 ft,0.227,0.293,104.51
1395,Memphis Grizzlies,2009,3P,0.175,0.293,104.51
1396,Memphis Grizzlies,2010,0-3 ft,0.37,0.488,109.07
1397,Memphis Grizzlies,2010,3-10 ft,0.168,0.488,109.07
1398,Memphis Grizzlies,2010,10-16 ft,0.11,0.488,109.07
1399,Memphis Grizzlies,2010,Over 16 ft,0.203,0.488,109.07
1400,Memphis Grizzlies,2010,3P,0.148,0.488,109.07
1401,Memphis Grizzlies,2011,0-3 ft,0.309,0.561,108.52
1402,Memphis Grizzlies,2011,3-10 ft,0.244,0.561,108.52
1403,Memphis Grizzlies,2011,10-16 ft,0.107,0.561,108.52
1404,Memphis Grizzlies,2011,Over 16 ft,0.204,0.561,108.52
1405,Memphis Grizzlies,2011,3P,0.136,0.561,108.52
1406,Memphis Grizzlies,2012,0-3 ft,0.298,0.621,104.81
1407,Memphis Grizzlies,2012,3-10 ft,0.192,0.621,104.81
1408,Memphis Grizzlies,2012,10-16 ft,0.134,0.621,104.81
1409,Memphis Grizzlies,2012,Over 16 ft,0.219,0.621,104.81
1410,Memphis Grizzlies,2012,3P,0.157,0.621,104.81
1411,Memphis Grizzlies,2013,0-3 ft,0.304,0.683,105.95
1412,Memphis Grizzlies,2013,3-10 ft,0.196,0.683,105.95
1413,Memphis Grizzlies,2013,10-16 ft,0.125,0.683,105.95
1414,Memphis Grizzlies,2013,Over 16 ft,0.21,0.683,105.95
1415,Memphis Grizzlies,2013,3P,0.166,0.683,105.95
1416,Memphis Grizzlies,2014,0-3 ft,0.301,0.61,107.12
1417,Memphis Grizzlies,2014,3-10 ft,0.223,0.61,107.12
1418,Memphis Grizzlies,2014,10-16 ft,0.115,0.61,107.12
1419,Memphis Grizzlies,2014,Over 16 ft,0.191,0.61,107.12
1420,Memphis Grizzlies,2014,3P,0.171,0.61,107.12
1421,Memphis Grizzlies,2015,0-3 ft,0.305,0.671,106.44
1422,Memphis Grizzlies,2015,3-10 ft,0.202,0.671,106.44
1423,Memphis Grizzlies,2015,10-16 ft,0.13,0.671,106.44
1424,Memphis Grizzlies,2015,Over 16 ft,0.179,0.671,106.44
1425,Memphis Grizzlies,2015,3P,0.184,0.671,106.44
1426,Memphis Grizzlies,2016,0-3 ft,0.313,0.512,106.36
1427,Memphis Grizzlies,2016,3-10 ft,0.19,0.512,106.36
1428,Memphis Grizzlies,2016,10-16 ft,0.103,0.512,106.36
1429,Memphis Grizzlies,2016,Over 16 ft,0.172,0.512,106.36
1430,Memphis Grizzlies,2016,3P,0.222,0.512,106.36
1431,Memphis Grizzlies,2017,0-3 ft,0.288,0.524,108.59
1432,Memphis Grizzlies,2017,3-10 ft,0.158,0.524,108.59
1433,Memphis Grizzlies,2017,10-16 ft,0.092,0.524,108.59
1434,Memphis Grizzlies,2017,Over 16 ft,0.144,0.524,108.59
1435,Memphis Grizzlies,2017,3P,0.316,0.524,108.59
1436,Memphis Grizzlies,2018,0-3 ft,0.312,0.268,105.29
1437,Memphis Grizzlies,2018,3-10 ft,0.139,0.268,105.29
1438,Memphis Grizzlies,2018,10-16 ft,0.1,0.268,105.29
1439,Memphis Grizzlies,2018,Over 16 ft,0.132,0.268,105.29
1440,Memphis Grizzlies,2018,3P,0.317,0.268,105.29
1441,Miami Heat,2001,0-3 ft,0.25,0.61,101.88
1442,Miami Heat,2001,3-10 ft,0.149,0.61,101.88
1443,Miami Heat,2001,10-16 ft,0.146,0.61,101.88
1444,Miami Heat,2001,Over 16 ft,0.233,0.61,101.88
1445,Miami Heat,2001,3P,0.221,0.61,101.88
1446,Miami Heat,2002,0-3 ft,0.238,0.439,99.28
1447,Miami Heat,2002,3-10 ft,0.134,0.439,99.28
1448,Miami Heat,2002,10-16 ft,0.164,0.439,99.28
1449,Miami Heat,2002,Over 16 ft,0.323,0.439,99.28
1450,Miami Heat,2002,3P,0.141,0.439,99.28
1451,Miami Heat,2003,0-3 ft,0.251,0.305,97.53
1452,Miami Heat,2003,3-10 ft,0.127,0.305,97.53
1453,Miami Heat,2003,10-16 ft,0.154,0.305,97.53
1454,Miami Heat,2003,Over 16 ft,0.299,0.305,97.53
1455,Miami Heat,2003,3P,0.169,0.305,97.53
1456,Miami Heat,2004,0-3 ft,0.297,0.512,102.92
1457,Miami Heat,2004,3-10 ft,0.143,0.512,102.92
1458,Miami Heat,2004,10-16 ft,0.117,0.512,102.92
1459,Miami Heat,2004,Over 16 ft,0.231,0.512,102.92
1460,Miami Heat,2004,3P,0.211,0.512,102.92
1461,Miami Heat,2005,0-3 ft,0.336,0.72,111.08
1462,Miami Heat,2005,3-10 ft,0.137,0.72,111.08
1463,Miami Heat,2005,10-16 ft,0.111,0.72,111.08
1464,Miami Heat,2005,Over 16 ft,0.218,0.72,111.08
1465,Miami Heat,2005,3P,0.198,0.72,111.08
1466,Miami Heat,2006,0-3 ft,0.34,0.634,109.53
1467,Miami Heat,2006,3-10 ft,0.162,0.634,109.53
1468,Miami Heat,2006,10-16 ft,0.094,0.634,109.53
1469,Miami Heat,2006,Over 16 ft,0.177,0.634,109.53
1470,Miami Heat,2006,3P,0.227,0.634,109.53
1471,Miami Heat,2007,0-3 ft,0.304,0.537,105.25
1472,Miami Heat,2007,3-10 ft,0.147,0.537,105.25
1473,Miami Heat,2007,10-16 ft,0.094,0.537,105.25
1474,Miami Heat,2007,Over 16 ft,0.211,0.537,105.25
1475,Miami Heat,2007,3P,0.245,0.537,105.25
1476,Miami Heat,2008,0-3 ft,0.268,0.183,101.13
1477,Miami Heat,2008,3-10 ft,0.115,0.183,101.13
1478,Miami Heat,2008,10-16 ft,0.107,0.183,101.13
1479,Miami Heat,2008,Over 16 ft,0.294,0.183,101.13
1480,Miami Heat,2008,3P,0.217,0.183,101.13
1481,Miami Heat,2009,0-3 ft,0.275,0.524,108.34
1482,Miami Heat,2009,3-10 ft,0.119,0.524,108.34
1483,Miami Heat,2009,10-16 ft,0.114,0.524,108.34
1484,Miami Heat,2009,Over 16 ft,0.247,0.524,108.34
1485,Miami Heat,2009,3P,0.245,0.524,108.34
1486,Miami Heat,2010,0-3 ft,0.272,0.573,107.63
1487,Miami Heat,2010,3-10 ft,0.114,0.573,107.63
1488,Miami Heat,2010,10-16 ft,0.14,0.573,107.63
1489,Miami Heat,2010,Over 16 ft,0.256,0.573,107.63
1490,Miami Heat,2010,3P,0.219,0.573,107.63
1491,Miami Heat,2011,0-3 ft,0.242,0.707,112.62
1492,Miami Heat,2011,3-10 ft,0.155,0.707,112.62
1493,Miami Heat,2011,10-16 ft,0.102,0.707,112.62
1494,Miami Heat,2011,Over 16 ft,0.267,0.707,112.62
1495,Miami Heat,2011,3P,0.235,0.707,112.62
1496,Miami Heat,2012,0-3 ft,0.309,0.697,107.66
1497,Miami Heat,2012,3-10 ft,0.157,0.697,107.66
1498,Miami Heat,2012,10-16 ft,0.119,0.697,107.66
1499,Miami Heat,2012,Over 16 ft,0.218,0.697,107.66
1500,Miami Heat,2012,3P,0.198,0.697,107.66
1501,Miami Heat,2013,0-3 ft,0.297,0.805,113.43
1502,Miami Heat,2013,3-10 ft,0.127,0.805,113.43
1503,Miami Heat,2013,10-16 ft,0.099,0.805,113.43
1504,Miami Heat,2013,Over 16 ft,0.192,0.805,113.43
1505,Miami Heat,2013,3P,0.285,0.805,113.43
1506,Miami Heat,2014,0-3 ft,0.33,0.659,112.13
1507,Miami Heat,2014,3-10 ft,0.127,0.659,112.13
1508,Miami Heat,2014,10-16 ft,0.084,0.659,112.13
1509,Miami Heat,2014,Over 16 ft,0.168,0.659,112.13
1510,Miami Heat,2014,3P,0.292,0.659,112.13
1511,Miami Heat,2015,0-3 ft,0.294,0.451,104.86
1512,Miami Heat,2015,3-10 ft,0.141,0.451,104.86
1513,Miami Heat,2015,10-16 ft,0.118,0.451,104.86
1514,Miami Heat,2015,Over 16 ft,0.184,0.451,104.86
1515,Miami Heat,2015,3P,0.262,0.451,104.86
1516,Miami Heat,2016,0-3 ft,0.303,0.585,107.01
1517,Miami Heat,2016,3-10 ft,0.166,0.585,107.01
1518,Miami Heat,2016,10-16 ft,0.128,0.585,107.01
1519,Miami Heat,2016,Over 16 ft,0.182,0.585,107.01
1520,Miami Heat,2016,3P,0.221,0.585,107.01
1521,Miami Heat,2017,0-3 ft,0.29,0.5,108.73
1522,Miami Heat,2017,3-10 ft,0.169,0.5,108.73
1523,Miami Heat,2017,10-16 ft,0.094,0.5,108.73
1524,Miami Heat,2017,Over 16 ft,0.131,0.5,108.73
1525,Miami Heat,2017,3P,0.314,0.5,108.73
1526,Miami Heat,2018,0-3 ft,0.279,0.537,107.63
1527,Miami Heat,2018,3-10 ft,0.163,0.537,107.63
1528,Miami Heat,2018,10-16 ft,0.095,0.537,107.63
1529,Miami Heat,2018,Over 16 ft,0.104,0.537,107.63
1530,Miami Heat,2018,3P,0.358,0.537,107.63
1531,Milwaukee Bucks,2001,0-3 ft,0.224,0.634,109.52
1532,Milwaukee Bucks,2001,3-10 ft,0.121,0.634,109.52
1533,Milwaukee Bucks,2001,10-16 ft,0.258,0.634,109.52
1534,Milwaukee Bucks,2001,Over 16 ft,0.179,0.634,109.52
1535,Milwaukee Bucks,2001,3P,0.218,0.634,109.52
1536,Milwaukee Bucks,2002,0-3 ft,0.237,0.5,107.78
1537,Milwaukee Bucks,2002,3-10 ft,0.126,0.5,107.78
1538,Milwaukee Bucks,2002,10-16 ft,0.236,0.5,107.78
1539,Milwaukee Bucks,2002,Over 16 ft,0.16,0.5,107.78
1540,Milwaukee Bucks,2002,3P,0.241,0.5,107.78
1541,Milwaukee Bucks,2003,0-3 ft,0.267,0.512,109.62
1542,Milwaukee Bucks,2003,3-10 ft,0.136,0.512,109.62
1543,Milwaukee Bucks,2003,10-16 ft,0.191,0.512,109.62
1544,Milwaukee Bucks,2003,Over 16 ft,0.177,0.512,109.62
1545,Milwaukee Bucks,2003,3P,0.229,0.512,109.62
1546,Milwaukee Bucks,2004,0-3 ft,0.32,0.5,107.28
1547,Milwaukee Bucks,2004,3-10 ft,0.152,0.5,107.28
1548,Milwaukee Bucks,2004,10-16 ft,0.176,0.5,107.28
1549,Milwaukee Bucks,2004,Over 16 ft,0.179,0.5,107.28
1550,Milwaukee Bucks,2004,3P,0.172,0.5,107.28
1551,Milwaukee Bucks,2005,0-3 ft,0.331,0.366,107
1552,Milwaukee Bucks,2005,3-10 ft,0.128,0.366,107
1553,Milwaukee Bucks,2005,10-16 ft,0.177,0.366,107
1554,Milwaukee Bucks,2005,Over 16 ft,0.224,0.366,107
1555,Milwaukee Bucks,2005,3P,0.141,0.366,107
1556,Milwaukee Bucks,2006,0-3 ft,0.339,0.488,106.81
1557,Milwaukee Bucks,2006,3-10 ft,0.134,0.488,106.81
1558,Milwaukee Bucks,2006,10-16 ft,0.132,0.488,106.81
1559,Milwaukee Bucks,2006,Over 16 ft,0.192,0.488,106.81
1560,Milwaukee Bucks,2006,3P,0.203,0.488,106.81
1561,Milwaukee Bucks,2007,0-3 ft,0.36,0.341,107.63
1562,Milwaukee Bucks,2007,3-10 ft,0.124,0.341,107.63
1563,Milwaukee Bucks,2007,10-16 ft,0.113,0.341,107.63
1564,Milwaukee Bucks,2007,Over 16 ft,0.183,0.341,107.63
1565,Milwaukee Bucks,2007,3P,0.219,0.341,107.63
1566,Milwaukee Bucks,2008,0-3 ft,0.33,0.317,105.74
1567,Milwaukee Bucks,2008,3-10 ft,0.149,0.317,105.74
1568,Milwaukee Bucks,2008,10-16 ft,0.117,0.317,105.74
1569,Milwaukee Bucks,2008,Over 16 ft,0.21,0.317,105.74
1570,Milwaukee Bucks,2008,3P,0.195,0.317,105.74
1571,Milwaukee Bucks,2009,0-3 ft,0.305,0.415,107.44
1572,Milwaukee Bucks,2009,3-10 ft,0.118,0.415,107.44
1573,Milwaukee Bucks,2009,10-16 ft,0.125,0.415,107.44
1574,Milwaukee Bucks,2009,Over 16 ft,0.243,0.415,107.44
1575,Milwaukee Bucks,2009,3P,0.208,0.415,107.44
1576,Milwaukee Bucks,2010,0-3 ft,0.288,0.561,105.74
1577,Milwaukee Bucks,2010,3-10 ft,0.13,0.561,105.74
1578,Milwaukee Bucks,2010,10-16 ft,0.114,0.561,105.74
1579,Milwaukee Bucks,2010,Over 16 ft,0.209,0.561,105.74
1580,Milwaukee Bucks,2010,3P,0.259,0.561,105.74
1581,Milwaukee Bucks,2011,0-3 ft,0.268,0.427,102.47
1582,Milwaukee Bucks,2011,3-10 ft,0.165,0.427,102.47
1583,Milwaukee Bucks,2011,10-16 ft,0.123,0.427,102.47
1584,Milwaukee Bucks,2011,Over 16 ft,0.227,0.427,102.47
1585,Milwaukee Bucks,2011,3P,0.216,0.427,102.47
1586,Milwaukee Bucks,2012,0-3 ft,0.308,0.47,106.07
1587,Milwaukee Bucks,2012,3-10 ft,0.146,0.47,106.07
1588,Milwaukee Bucks,2012,10-16 ft,0.12,0.47,106.07
1589,Milwaukee Bucks,2012,Over 16 ft,0.202,0.47,106.07
1590,Milwaukee Bucks,2012,3P,0.224,0.47,106.07
1591,Milwaukee Bucks,2013,0-3 ft,0.32,0.463,104.28
1592,Milwaukee Bucks,2013,3-10 ft,0.143,0.463,104.28
1593,Milwaukee Bucks,2013,10-16 ft,0.122,0.463,104.28
1594,Milwaukee Bucks,2013,Over 16 ft,0.183,0.463,104.28
1595,Milwaukee Bucks,2013,3P,0.232,0.463,104.28
1596,Milwaukee Bucks,2014,0-3 ft,0.314,0.183,103.67
1597,Milwaukee Bucks,2014,3-10 ft,0.168,0.183,103.67
1598,Milwaukee Bucks,2014,10-16 ft,0.106,0.183,103.67
1599,Milwaukee Bucks,2014,Over 16 ft,0.182,0.183,103.67
1600,Milwaukee Bucks,2014,3P,0.231,0.183,103.67
1601,Milwaukee Bucks,2015,0-3 ft,0.337,0.5,103.57
1602,Milwaukee Bucks,2015,3-10 ft,0.137,0.5,103.57
1603,Milwaukee Bucks,2015,10-16 ft,0.111,0.5,103.57
1604,Milwaukee Bucks,2015,Over 16 ft,0.193,0.5,103.57
1605,Milwaukee Bucks,2015,3P,0.223,0.5,103.57
1606,Milwaukee Bucks,2016,0-3 ft,0.365,0.402,105.06
1607,Milwaukee Bucks,2016,3-10 ft,0.19,0.402,105.06
1608,Milwaukee Bucks,2016,10-16 ft,0.106,0.402,105.06
1609,Milwaukee Bucks,2016,Over 16 ft,0.149,0.402,105.06
1610,Milwaukee Bucks,2016,3P,0.189,0.402,105.06
1611,Milwaukee Bucks,2017,0-3 ft,0.351,0.512,109.92
1612,Milwaukee Bucks,2017,3-10 ft,0.174,0.512,109.92
1613,Milwaukee Bucks,2017,10-16 ft,0.077,0.512,109.92
1614,Milwaukee Bucks,2017,Over 16 ft,0.108,0.512,109.92
1615,Milwaukee Bucks,2017,3P,0.29,0.512,109.92
1616,Milwaukee Bucks,2018,0-3 ft,0.31,0.537,110.67
1617,Milwaukee Bucks,2018,3-10 ft,0.152,0.537,110.67
1618,Milwaukee Bucks,2018,10-16 ft,0.114,0.537,110.67
1619,Milwaukee Bucks,2018,Over 16 ft,0.127,0.537,110.67
1620,Milwaukee Bucks,2018,3P,0.297,0.537,110.67
1621,Minnesota Timberwolves,2001,0-3 ft,0.236,0.573,106
1622,Minnesota Timberwolves,2001,3-10 ft,0.164,0.573,106
1623,Minnesota Timberwolves,2001,10-16 ft,0.155,0.573,106
1624,Minnesota Timberwolves,2001,Over 16 ft,0.315,0.573,106
1625,Minnesota Timberwolves,2001,3P,0.131,0.573,106
1626,Minnesota Timberwolves,2002,0-3 ft,0.236,0.61,109.79
1627,Minnesota Timberwolves,2002,3-10 ft,0.175,0.61,109.79
1628,Minnesota Timberwolves,2002,10-16 ft,0.151,0.61,109.79
1629,Minnesota Timberwolves,2002,Over 16 ft,0.286,0.61,109.79
1630,Minnesota Timberwolves,2002,3P,0.152,0.61,109.79
1631,Minnesota Timberwolves,2003,0-3 ft,0.249,0.622,106.81
1632,Minnesota Timberwolves,2003,3-10 ft,0.15,0.622,106.81
1633,Minnesota Timberwolves,2003,10-16 ft,0.156,0.622,106.81
1634,Minnesota Timberwolves,2003,Over 16 ft,0.327,0.622,106.81
1635,Minnesota Timberwolves,2003,3P,0.118,0.622,106.81
1636,Minnesota Timberwolves,2004,0-3 ft,0.206,0.707,106.53
1637,Minnesota Timberwolves,2004,3-10 ft,0.147,0.707,106.53
1638,Minnesota Timberwolves,2004,10-16 ft,0.21,0.707,106.53
1639,Minnesota Timberwolves,2004,Over 16 ft,0.301,0.707,106.53
1640,Minnesota Timberwolves,2004,3P,0.137,0.707,106.53
1641,Minnesota Timberwolves,2005,0-3 ft,0.225,0.537,108.99
1642,Minnesota Timberwolves,2005,3-10 ft,0.138,0.537,108.99
1643,Minnesota Timberwolves,2005,10-16 ft,0.18,0.537,108.99
1644,Minnesota Timberwolves,2005,Over 16 ft,0.285,0.537,108.99
1645,Minnesota Timberwolves,2005,3P,0.173,0.537,108.99
1646,Minnesota Timberwolves,2006,0-3 ft,0.285,0.402,103.52
1647,Minnesota Timberwolves,2006,3-10 ft,0.118,0.402,103.52
1648,Minnesota Timberwolves,2006,10-16 ft,0.145,0.402,103.52
1649,Minnesota Timberwolves,2006,Over 16 ft,0.304,0.402,103.52
1650,Minnesota Timberwolves,2006,3P,0.149,0.402,103.52
1651,Minnesota Timberwolves,2007,0-3 ft,0.267,0.39,104.58
1652,Minnesota Timberwolves,2007,3-10 ft,0.127,0.39,104.58
1653,Minnesota Timberwolves,2007,10-16 ft,0.133,0.39,104.58
1654,Minnesota Timberwolves,2007,Over 16 ft,0.305,0.39,104.58
1655,Minnesota Timberwolves,2007,3P,0.167,0.39,104.58
1656,Minnesota Timberwolves,2008,0-3 ft,0.306,0.268,104.42
1657,Minnesota Timberwolves,2008,3-10 ft,0.181,0.268,104.42
1658,Minnesota Timberwolves,2008,10-16 ft,0.122,0.268,104.42
1659,Minnesota Timberwolves,2008,Over 16 ft,0.206,0.268,104.42
1660,Minnesota Timberwolves,2008,3P,0.185,0.268,104.42
1661,Minnesota Timberwolves,2009,0-3 ft,0.332,0.293,106.75
1662,Minnesota Timberwolves,2009,3-10 ft,0.137,0.293,106.75
1663,Minnesota Timberwolves,2009,10-16 ft,0.107,0.293,106.75
1664,Minnesota Timberwolves,2009,Over 16 ft,0.196,0.293,106.75
1665,Minnesota Timberwolves,2009,3P,0.227,0.293,106.75
1666,Minnesota Timberwolves,2010,0-3 ft,0.308,0.183,102.34
1667,Minnesota Timberwolves,2010,3-10 ft,0.166,0.183,102.34
1668,Minnesota Timberwolves,2010,10-16 ft,0.146,0.183,102.34
1669,Minnesota Timberwolves,2010,Over 16 ft,0.21,0.183,102.34
1670,Minnesota Timberwolves,2010,3P,0.171,0.183,102.34
1671,Minnesota Timberwolves,2011,0-3 ft,0.241,0.207,104.84
1672,Minnesota Timberwolves,2011,3-10 ft,0.233,0.207,104.84
1673,Minnesota Timberwolves,2011,10-16 ft,0.099,0.207,104.84
1674,Minnesota Timberwolves,2011,Over 16 ft,0.204,0.207,104.84
1675,Minnesota Timberwolves,2011,3P,0.223,0.207,104.84
1676,Minnesota Timberwolves,2012,0-3 ft,0.31,0.394,104.85
1677,Minnesota Timberwolves,2012,3-10 ft,0.157,0.394,104.85
1678,Minnesota Timberwolves,2012,10-16 ft,0.086,0.394,104.85
1679,Minnesota Timberwolves,2012,Over 16 ft,0.186,0.394,104.85
1680,Minnesota Timberwolves,2012,3P,0.262,0.394,104.85
1681,Minnesota Timberwolves,2013,0-3 ft,0.331,0.378,103.61
1682,Minnesota Timberwolves,2013,3-10 ft,0.139,0.378,103.61
1683,Minnesota Timberwolves,2013,10-16 ft,0.083,0.378,103.61
1684,Minnesota Timberwolves,2013,Over 16 ft,0.227,0.378,103.61
1685,Minnesota Timberwolves,2013,3P,0.22,0.378,103.61
1686,Minnesota Timberwolves,2014,0-3 ft,0.334,0.488,109.41
1687,Minnesota Timberwolves,2014,3-10 ft,0.157,0.488,109.41
1688,Minnesota Timberwolves,2014,10-16 ft,0.091,0.488,109.41
1689,Minnesota Timberwolves,2014,Over 16 ft,0.174,0.488,109.41
1690,Minnesota Timberwolves,2014,3P,0.245,0.488,109.41
1691,Minnesota Timberwolves,2015,0-3 ft,0.284,0.195,103.63
1692,Minnesota Timberwolves,2015,3-10 ft,0.176,0.195,103.63
1693,Minnesota Timberwolves,2015,10-16 ft,0.122,0.195,103.63
